Segment;Reifegrad-Score;Lead Score alt;Prio alt;Firma;Branche;Produkte / Systeme;Zielmärkte;Website;Website-Status;Adresse;Telefon;Ansprechpartner;Position;E-Mail;Hauptgrund;Blocker / Risiko;Empfohlene Aktion;Gesprächseinstieg;Hohe Anforderung erkannt;Mittlere Anforderung erkannt;Wettbewerber/Eigenfertigung erkannt;Quellen;Original-Zeile
Jetzt ansprechen;100;100;A;Advanced Engineering;Maschinenbau;Maschinenbau, Automatisierung, Vorrichtungen, Robotik;Verpackung, Energie;http://www.advanced-engineering.at/;erreichbar (200);Am Ausfergenufer 8;+43 6245 70793;nicht gefunden;nicht gefunden;office@advanced-engineering.at;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Robotik; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Energie;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Energie;;https://www.advanced-engineering.at/ | https://www.advanced-engineering.at/ab...;2
Jetzt ansprechen;100;100;A;BWME | Weißenböck Maschinenbau GmbH;Maschinenbau;Sondermaschinen, Maschinenbau, Automatisierung, Vorrichtungen, Verpackungsmas...;Lebensmittel, Verpackung, Kunststoffindustrie;https://www.bwme.at/;erreichbar (200);Hauptstraße 2;+43 2630 30027;Bernhard Weißenböck;Geschäftsführung;office@bwme.at;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Lebensmittel;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Lebensmittel;;https://www.bwme.at/ | https://www.bwme.at/werkzeugmaschinenbau-sondermaschin...;7
Jetzt ansprechen;100;100;A;Haginger Maschinenbau GmbH & Co. KG.;Maschinenbauunternehmen;Sondermaschinen, Maschinenbau, Anlagenbau, Automatisierung, Vorrichtungen, Ro...;Energie;http://www.haginger.com/;erreichbar (200);Gewerbepark 5;+43 7682 429280;nicht gefunden;nicht gefunden;office@haginger.com;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Anlagenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Energie;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Energie;;https://haginger.com/ | https://haginger.com/produkte/ | https://haginger.com...;10
Jetzt ansprechen;100;100;A;Huber Maschinenbau GmbH;Geschäftsstelle;Sondermaschinen, Maschinenbau, Automatisierung, Vorrichtungen, Robotik;nicht gefunden;http://www.huber-maschinenbau.com/;erreichbar (200);Gewerbepark 15;nicht gefunden;nicht gefunden;nicht gefunden;office@huber-maschinenbau.com;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Robotik; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;http://www.huber-maschinenbau.com/ | http://www.huber-maschinenbau.com/das-un...;13
Jetzt ansprechen;100;100;A;IMA Ingenieurbüro für Maschinen- und Anlagenbau Gm...;Maschinenbau;Maschinenbau, Anlagenbau, Automatisierung, Vorrichtungen, Fördertechnik, Robotik;Energie, Kunststoffindustrie;https://www.ima.at/;erreichbar (200);Technologiering 13-17;+43 7229 648400;Matthias Mayer;Geschäftsführung;ima@ima.at;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Fördertechnik; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Energie;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Energie;;https://www.ima.at/ | https://www.ima.at/impressum/ | https://www.ima.at/serv...;14
Jetzt ansprechen;100;100;A;Mechatronik Maschinenbau GmbH | Ebbs;Maschinenbauunternehmen;Sondermaschinen, Maschinenbau, Automatisierung, Vorrichtungen, Fördertechnik,...;Verpackung, Kunststoffindustrie;http://www.mechatronik-kufstein.com/;erreichbar (200);Waldeck 29;+43 5372 61747;Herbert Ritzer;Geschäftsführung;nicht gefunden;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Fördertechnik; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.mechatronik-kufstein.com/ | https://www.mechatronik-kufstein.com/...;24
Jetzt ansprechen;100;100;A;SAB Sondermaschinen- und Anlagenbau;Maschinenbau;Sondermaschinen, Maschinenbau, Anlagenbau, Automatisierung, Robotik;Lebensmittel, Verpackung, Energie;http://www.sab-austria.com/;erreichbar (200);Wirtschaftspark 6;nicht gefunden;nicht gefunden;nicht gefunden;office@sab-group.com;"Fit: Sondermaschinen, Automatisierung, Robotik, Anlagenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Energie, Lebensmittel;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Energie, Lebensmittel;;https://www.sab-group.com/ | https://www.sab-group.com/sab-austria-sondermasc...;26
Jetzt ansprechen;100;100;A;Schwarz Maschinenbau GmbH;Maschinenbauunternehmen;Sondermaschinen, Maschinenbau, Anlagenbau, Automatisierung, Vorrichtungen;nicht gefunden;https://www.schwarz-maschinenbau.at/;erreichbar (200);Staldenweg 5a;nicht gefunden;Rainer Weber;Geschäftsführung;info@schwarz-maschinenbau.at;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Anlagenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.schwarz-maschinenbau.at/ | https://www.schwarz-maschinenbau.at/so...;27
Jetzt ansprechen;100;100;A;SEMATEC INDUSTRIESERVICE GMBH;Maschinenbau;Sondermaschinen, Maschinenbau, Automatisierung, Vorrichtungen, Fördertechnik,...;Lebensmittel;http://www.sematec.at/;erreichbar (200);Lehenweg 10;+43 5522 23896;nicht gefunden;nicht gefunden;office@sematec.at;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Fördertechnik; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Lebensmittel;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Lebensmittel;;https://www.sematec.at/ | https://www.sematec.at/maschinenbau | https://www.s...;29
Jetzt ansprechen;100;100;A;TC Maschinenbau;Maschinenbauunternehmen;Sondermaschinen, Maschinenbau, Anlagenbau, Automatisierung, Vorrichtungen, Ro...;Holzindustrie, Verpackung;https://www.tc-maschinenbau.at/;erreichbar (200);Gewerbestraße 16;+43 4212 43770;nicht gefunden;nicht gefunden;office@tc-maschinenbau.at;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Anlagenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.tc-maschinenbau.at/ | https://www.tc-maschinenbau.at/ueber-uns/ |...;31
